duration_years,log_project_cost,funding_gap_ratio,region_encoded,environment_risk,risk_label,contract_graph_score,schedule_contract_risk,financial_contract_risk,quality_contract_risk,termination_contract_risk
6.6657534246575345,18.31532023940565,0.0,2,1,0,0.16363636363636366,1.9997260273972606,3.6630640478811305,0.1,0.0
6.260273972602739,20.161146920547257,0.2982456135118498,6,0,0,0.16363636363636366,1.8780821917808221,4.032229384109452,0.0,0.05964912270236997
5.005479452054795,19.85819089883171,0.40620397984370343,6,1,0,0.16363636363636366,1.5016438356164385,3.9716381797663427,0.1,0.08124079596874069
5.767123287671233,17.81554445903015,0.06593406472648233,1,1,0,0.16363636363636366,1.7301369863013702,3.56310889180603,0.1,0.013186812945296467
5.279452054794521,17.182806422433504,0.0,0,1,0,0.16363636363636366,1.5838356164383565,3.436561284486701,0.1,0.0
7.536986301369863,19.05195252611337,0.8457446763524219,0,1,0,0.16363636363636366,2.2610958904109593,3.8103905052226743,0.1,0.16914893527048439
5.123287671232877,16.811242881518265,0.0,1,1,0,0.16363636363636366,1.5369863013698633,3.362248576303653,0.1,0.0
6.890410958904109,19.519293035953808,0.5099999983,6,0,0,0.16363636363636366,2.067123287671233,3.9038586071907617,0.0,0.10199999966000001
5.553424657534246,17.50439003707821,0.0,0,1,0,0.16363636363636366,1.6660273972602742,3.500878007415642,0.1,0.0
6.093150684931507,17.120564115770776,0.04513761302247292,1,1,0,0.16363636363636366,1.8279452054794523,3.4241128231541555,0.1,0.009027522604494584
3.0054794520547947,16.432906463791053,0.0,1,6,0,0.16363636363636366,0.9016438356164386,3.2865812927582105,0.6000000000000001,0.0
5.186301369863013,20.23713282739681,0.3089430889285478,6,6,0,0.16363636363636366,1.5558904109589042,4.047426565479362,0.6000000000000001,0.06178861778570957
6.158904109589041,17.822843761378564,0.0,2,1,0,0.16363636363636366,1.8476712328767124,3.5645687522757132,0.1,0.0
4.758904109589041,19.44233999505232,0.2800057589459077,1,6,0,0.16363636363636366,1.4276712328767125,3.888467999010464,0.6000000000000001,0.05600115178918154
